PClass,Age,Sex,Title,Survived
1st,29,female,Miss,1
1st,2,female,Miss,0
1st,30,male,Mr,0
1st,25,female,Mrs,0
1st,0.92,male,Nothing,1
1st,47,male,Mr,1
1st,63,female,Miss,1
1st,39,male,Mr,0
1st,58,female,Mrs,1
1st,71,male,Mr,0
1st,47,male,Nothing,0
1st,19,female,Mrs,1
1st,28,female,Mrs,1
1st,28,male,Mr,1
1st,28,male,Mr,0
1st,50,female,Mrs,1
1st,24,male,Mr,0
1st,36,male,Mr,0
1st,37,male,Mr,1
1st,47,female,Mrs,1
1st,26,male,Mr,1
1st,25,male,Mr,0
1st,25,male,Mr,1
1st,19,female,Mrs,1
1st,28,male,Mr,1
1st,45,male,Mr,0
1st,39,male,Mr,1
1st,30,female,Miss,1
1st,58,female,Miss,1
1st,28,male,Mr,0
1st,45,female,Miss,1
1st,22,female,Miss,1
1st,28,male,Mr,1
1st,41,male,Mr,0
1st,48,male,Mr,0
1st,28,male,Nothing,0
1st,44,female,Mrs,1
1st,59,female,Mrs,1
1st,60,female,Mrs,1
1st,45,male,Nothing,0
1st,28,male,Mr,1
1st,53,female,Mrs,1
1st,58,female,Mrs,1
1st,36,male,Mr,1
1st,33,male,Mr,0
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,36,male,Mr,1
1st,36,female,Mrs,1
1st,14,female,Miss,1
1st,11,male,Nothing,1
1st,49,male,Mr,0
1st,28,female,Mrs,1
1st,36,male,Mr,0
1st,28,female,Mrs,1
1st,46,male,Mr,0
1st,47,female,Mrs,1
1st,27,male,Mr,1
1st,31,female,Mrs,1
1st,28,female,Miss,1
1st,28,male,Mr,1
1st,28,female,Mrs,1
1st,28,male,Mr,0
1st,27,male,Mr,0
1st,26,female,Mrs,1
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,64,female,Mrs,1
1st,37,male,Mr,0
1st,39,female,Miss,1
1st,55,female,Mrs,1
1st,28,male,Mr,0
1st,70,male,Nothing,0
1st,69,female,Mrs,1
1st,36,female,Miss,1
1st,39,male,Mr,0
1st,38,female,Mrs,1
1st,28,male,Mr,1
1st,27,male,Mr,1
1st,31,male,Mr,0
1st,27,female,Mrs,1
1st,28,female,Nothing,1
1st,31,male,Mr,1
1st,17,female,Mrs,1
1st,28,male,Nothing,1
1st,28,female,Mrs,1
1st,4,male,Nothing,1
1st,27,female,Mrs,1
1st,50,male,Mr,0
1st,48,female,Mrs,1
1st,49,male,Nothing,1
1st,48,female,Nothing,1
1st,39,male,Mr,0
1st,23,female,Mrs,1
1st,53,female,Miss,1
1st,36,female,Miss,0
1st,28,female,Mrs,1
1st,28,male,Mr,1
1st,30,male,Mr,0
1st,24,female,Miss,1
1st,19,male,Mr,0
1st,28,female,Miss,1
1st,23,female,Miss,1
1st,64,male,Mr,0
1st,60,female,Mrs,1
1st,28,male,Mr,0
1st,49,male,Nothing,1
1st,28,female,Mrs,1
1st,44,male,Mr,1
1st,22,female,Miss,1
1st,60,male,Mr,1
1st,48,female,Mrs,1
1st,37,male,Mr,0
1st,35,female,Mrs,1
1st,47,male,Mr,0
1st,22,female,Miss,1
1st,45,female,Mrs,1
1st,49,male,Mr,1
1st,28,female,Mrs,1
1st,71,male,Mr,0
1st,54,male,Nothing,1
1st,38,male,Mr,0
1st,19,female,Miss,1
1st,58,female,Mrs,1
1st,45,female,Mrs,1
1st,23,male,Mr,1
1st,46,male,Mr,0
1st,25,male,Mr,1
1st,21,female,Mrs,1
1st,48,male,Mr,1
1st,49,female,Mrs,1
1st,45,male,Mr,0
1st,36,female,Mrs,1
1st,28,male,Mr,1
1st,55,male,Mr,0
1st,52,female,Mrs,1
1st,24,female,Miss,1
1st,28,male,Mr,0
1st,28,male,Mr,0
1st,28,male,Mr,0
